Phase,Num_Images,Top-1 Accuracy,Top-5 Accuracy
0,6030,0.7128633856773376,0.9745121598243713
1,8040,0.7630426287651062,0.9932298064231873
2,10050,0.8152130842208862,0.9960175156593323
3,12060,0.8251692652702332,0.9952210187911987
4,14070,0.8490641117095947,0.997212290763855
